RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,Year,AggressionScore,RKOOddsDec,RSubOddsDec,BKOOddsDec,BSubOddsDec,RedFinishingProb,BlueFinishingProb,RedStrikeGrapple,BlueStrikeGrapple,FightPace,SurvivabilityIndex,RedOddsDec,BlueOddsDec,Pred,Pblue,BettingEdgeIndex
Jussier Formiga,Joseph Benavidez,105,-125,105,80,2019-06-29,"Minneapolis, Minnesota, USA",USA,Blue,FALSE,Flyweight,MALE,3,0,2,0,3.46,0.33,0.6,1.53,0.31,6,5,63,2,0,1,10,5,4,0,20,Southpaw,162.56,165.1,125,0,4,0,1.38,0.38,0.6,1.95,0.39,4,4,32,0,0,0,6,0,3,0,9,Orthodox,165.1,170.18,125,34,34,0,-2,2,11,-1,31,2,5,1,-2.54,-5.08,0,2.08,0,-0.42,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,Red,KO/TKO,Punches,2,04:47:00,587,175,150,750,1200,1400,350,2019,0.9088770389851438,15,8.5,4.5,13,0.1843137254901961,0.29914529914529914,0.6511627906976745,0.22580645161290322,0.2028888888888889,0.9783333333333334,2.05,1.8,0.48780487804878053,0.5555555555555556,0.06775067750677505
Demian Maia,Rocco Martin,-190,165,52.6316,165,2019-06-29,"Minneapolis, Minnesota, USA",USA,Red,FALSE,Welterweight,MALE,3,0,4,0,2.7,0.36,1.1,0.68,0.25,4,4,32,0,0,0,4,1,3,0,8,Orthodox,182.88,185.42,170,0,1,0,1.82,0.43,1,2.49,0.25,7,9,79,2,0,1,8,1,10,0,20,Southpaw,185.42,182.88,170,41,29,0,3,-3,-12,5,-47,-2,0,-7,-2.54,2.54,12,0.88,0.1,-1.81,0,NA,12,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,NA,NA,NA,NA,NA,250,225,125,2000,1600,1000,2019,0.027922573784073024,17,2.25,11,21,0.5032679738562091,0.13852813852813853,0.927536231884058,0.3333333333333333,NA,NA,1.526315789473684,2.65,0.6551724137931035,0.37735849056603776,0.2778139232270658
Renato Moicano,Chan Sung Jung,-220,180,45.4545,180,2019-06-22,"Greenville, South Carolina, USA",USA,Blue,FALSE,Featherweight,MALE,3,1,0,0,4.58,0.41,0.6,0.78,0.41,3,4,22,1,0,0,0,2,2,0,4,Orthodox,170.18,182.88,145,1,0,0,5.53,0.46,0.4,1.16,0.54,3,2,17,0,0,2,1,0,2,0,5,Orthodox,180.34,182.88,145,30,32,0,0,0,-1,-2,5,1,2,0,-10.16,0,-2,-0.95,0.2,-0.38,0,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,Red,KO/TKO,Punch,1,00:58:00,58,200,800,450,1200,300,275,2019,0.01798620996209156,4,5.5,3.75,13,0.4318181818181818,0.3435897435897436,0.4,0.1864406779661017,0.4806666666666667,0.19333333333333333,1.4545454545454546,2.8,0.6875,0.35714285714285715,0.33035714285714285
Andrea Lee,Montana De La Rosa,-185,160,54.0541,160,2019-06-22,"Greenville, South Carolina, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,3,0,2.3,0.33,1.9,2.22,0.33,3,0,6,0,0,0,0,0,3,0,3,Orthodox,170.18,172.72,125,0,2,0,5.4,0.48,0.6,1.4,0.38,2,0,6,0,0,0,2,0,0,0,2,Orthodox,167.64,175.26,125,30,24,0,1,1,1,0,0,0,0,3,2.54,-2.54,6,-3.1,1.3,0.82,0,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,-125,400,900,400,800,1600,2019,0.030768859357148008,9,10,17,5,0.2111111111111111,0.25882352941176473,0.47058823529411764,0.8,0.1,1,1.5405405405405406,2.6,0.6491228070175439,0.3846153846153846,0.2645074224021593
Henry Cejudo,Marlon Moraes,145,-165,145,60.6061,2019-06-08,"Chicago, Illinois, USA",USA,Red,TRUE,Bantamweight,MALE,5,0,4,0,22.6,0.466,0.4,0.2,0.1,4,1,9,0,0,1,0,2,1,0,4,Orthodox,167.64,170.18,135,0,4,0,44,0.466,0.1,1.9,0.458,4,2,27,3,0,2,4,2,0,0,8,Orthodox,162.56,162.56,135,32,31,0,0,0,-4,1,-18,-3,0,1,5.08,7.62,1,-21.4,0.3,-1.7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Blue,KO/TKO,Punches,3,04:51:00,891,250,450,800,650,450,180,2019,0.9568927450589139,5.5,9,2.8,7.5,0.29292929292929293,0.4904761904761905,0.36,0.21686746987951808,0.1015,0.99,2.45,1.606060606060606,0.4081632653061224,0.6226415094339623,0.21447824412783995
Valentina Shevchenko,Jessica Eye,-1100,700,9.0909,700,2019-06-08,"Chicago, Illinois, USA",USA,Red,TRUE,Women's Flyweight,FEMALE,5,0,3,0,51.3,0.399,0.7,0.5,0.225,3,6,29,0,0,2,1,0,0,1,4,Orthodox,167.64,167.64,125,0,2,0,59.4286,0.576,0.4286,2.4286,0.601,2,2,25,2,0,1,2,0,2,0,5,Southpaw,165.1,167.64,125,31,32,0,1,1,-1,-4,4,-2,1,-2,2.54,0,-1,-8.1286,0.2714,-1.9286,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Kick,2,00:26:00,326,105,1200,215,2000,300,2000,2019,1.522997951276035e-8,4,3.15,21,21,0.5674603174603174,0.09523809523809523,0.5825242718446602,0.5,0.26088888888888884,0.5433333333333333,1.0909090909090908,8,0.9166666666666667,0.125,0.7916666666666667
Tony Ferguson,Donald Cerrone,-210,175,47.619,175,2019-06-08,"Chicago, Illinois, USA",USA,Red,FALSE,Lightweight,MALE,3,0,3,0,46.7742,0.496,0.3548,0.6774,0.295,8,8,68,1,0,0,7,10,6,0,23,Orthodox,185.42,185.42,155,0,11,0,55.4667,0.43,1,0.4,0.277,11,1,33,2,0,1,3,3,6,1,14,Orthodox,180.34,193.04,155,35,36,0,-8,-3,9,-7,35,-1,6,0,5.08,-7.62,-1,-8.6925,-0.6452,0.2774,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,Red,KO/TKO,NA,2,05:00:00,600,300,375,500,850,275,350,2019,0.020836344518680425,3.75,6,4.5,9.5,0.43333333333333335,0.32748538011695905,0.3548387096774194,0.2916666666666667,0.19999999999999998,1,1.4761904761904763,2.75,0.6774193548387096,0.36363636363636365,0.313782991202346
Jimmie Rivera,Petr Yan,300,-360,300,27.7778,2019-06-08,"Chicago, Illinois, USA",USA,Blue,FALSE,Bantamweight,MALE,3,0,4,0,70.25,0.55,0.25,1.25,0.288,4,0,9,0,0,0,2,2,0,0,4,Switch,170.18,170.18,135,1,0,0,45.75,0.366,0,0.625,0.104,5,2,20,0,0,1,4,1,0,0,6,Orthodox,162.56,172.72,135,29,26,1,4,-1,-2,2,-11,0,1,0,7.62,-2.54,3,24.5,0.25,0.625,0,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,Red,U-DEC,NA,3,05:00:00,900,400,125,1800,1400,1200,160,2019,0.9986414800495711,13,19,2.6,15,0.12955465587044535,0.45128205128205123,0.4,0.10256410256410256,0.1,1,4,1.2777777777777777,0.25,0.782608695652174,0.532608695652174
Tai Tuivasa,Blagoy Ivanov,-160,140,62.5,140,2019-06-08,"Chicago, Illinois, USA",USA,Blue,FALSE,Heavyweight,MALE,3,0,1,0,61.5,0.31,0,0,0,1,1,8,0,0,0,1,0,0,0,1,Southpaw,180.34,185.42,250,1,0,0,32.5,0.545,0,0,0,3,1,7,0,0,0,1,2,0,0,3,Southpaw,187.96,190.5,264,26,32,1,1,-2,-2,0,1,0,-2,0,-7.62,-5.08,-6,29,0,0,0,13,11,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,300,300,1400,600,175,450,2019,0.04742587317756678,2.75,15,5.5,7,0.4303030303030303,0.3246753246753247,0.1111111111111111,0.42857142857142855,0.1,1,1.625,2.4,0.6153846153846154,0.4166666666666667,0.19871794871794873
Tatiana Suarez,Nina Ansaroff,-750,525,13.3333,525,2019-06-08,"Chicago, Illinois, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,0,4,0,75.1667,0.47,0.6667,0.3333,0.25,4,2,18,0,0,0,3,0,1,0,4,Orthodox,165.1,162.56,115,0,4,0,42.75,0.638,0.5,4.5,0.818,4,0,8,1,0,0,1,1,2,0,4,Southpaw,165.1,167.64,115,28,33,0,0,0,0,-2,10,-1,-1,-1,0,-5.08,-5,32.4167,0.1667,-4.1667,0,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,168,NA,160,NA,330,NA,2019,2.902311985211097e-6,4.3,2.6,NA,NA,0.6171735241502683,NA,0.673469387755102,NA,0.1,1,1.1333333333333333,6.25,0.8823529411764706,0.16,0.7223529411764705
Aljamain Sterling,Pedro Munhoz,-160,140,62.5,140,2019-06-08,"Chicago, Illinois, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,3,0,41.5,0.499,0.6667,0.5833,0.233,4,4,23,0,0,0,2,3,3,0,8,Orthodox,167.64,165.1,135,0,3,0,52.25,0.49,0.75,1.75,0.418,4,3,32,0,0,0,5,1,3,0,9,Orthodox,170.18,180.34,135,29,32,0,0,0,-1,-1,-9,0,2,0,-2.54,-15.24,-3,-10.75,-0.0833,-1.1667,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,Red,U-DEC,NA,3,05:00:00,900,135,328,1278,489,600,550,2019,0.04742587317756678,7,13.78,6.5,5.89,0.21542608335061164,0.3236254407731488,0.3194888178913738,0.5293551491819056,0.1,1,1.625,2.4,0.6153846153846154,0.4166666666666667,0.19871794871794873
Karolina Kowalkiewicz,Alexa Grasso,105,-125,105,80,2019-06-08,"Chicago, Illinois, USA",USA,Blue,FALSE,Women's Strawweight,FEMALE,3,1,0,0,53.75,0.503,0.25,0.25,0.125,1,2,10,0,0,1,1,0,0,0,2,Orthodox,165.1,167.64,115,2,0,0,73.5556,0.38,0,0.1111,0.056,3,4,25,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115,33,25,1,0,-2,-3,2,-15,-1,0,0,5.08,5.08,8,-19.8056,0.25,0.1389,0,13,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,135,158,1500,750,999,1183,2019,0.9088770389851438,10.99,16,12.83,8.5,0.15349181073703366,0.1955893815047453,0.3997599039615846,0.612002069322297,0.1,1,2.05,1.8,0.48780487804878053,0.5555555555555556,0.06775067750677505
Ricardo Lamas,Calvin Kattar,155,-175,155,57.1429,2019-06-08,"Chicago, Illinois, USA",USA,Blue,FALSE,Featherweight,MALE,3,0,1,0,56.25,0.42,0,0.5,0.165,2,1,10,0,0,0,1,2,0,0,3,Orthodox,180.34,182.88,145,0,1,0,32.2667,0.478,0.6667,1.0667,0.301,4,5,34,1,0,0,3,4,3,0,10,Orthodox,172.72,180.34,145,37,31,0,0,-2,-7,4,-24,-1,-2,-3,7.62,2.54,6,23.9833,-0.6667,-0.5667,0,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,Red,KO/TKO,Punch,1,04:06:00,246,317,155,571,1550,590,331,2019,0.9644288107273639,6.9,6.71,4.3100000000000005,16.5,0.29395883280416424,0.2926246220909794,0.508182601205857,0.17597022860180755,0.418,0.82,2.55,1.5714285714285714,0.3921568627450981,0.6363636363636364,0.24420677361853826
Katlyn Chookagian,Joanne Calderwood,-105,-115,95.2381,86.9565,2019-06-08,"Chicago, Illinois, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,2,0,61.375,0.536,0.5,1.125,0.26,2,3,18,0,0,0,3,1,1,0,5,Orthodox,167.64,165.1,125,1,0,0,61.1667,0.295,0.1667,0,0,3,2,18,0,0,1,3,0,0,0,4,Orthodox,175.26,172.72,125,30,33,1,2,-1,1,-1,0,0,1,1,-7.62,-7.62,-3,0.2083,0.3333,1.125,0,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,135,130,1195,625,1200,1353,2019,0.52497918747894,13,12.95,14.53,7.25,0.15414315414315416,0.20675415905261407,0.5010438413361169,0.6840242669362993,0.1,1,1.9523809523809523,1.8695652173913042,0.5121951219512195,0.5348837209302326,0.022688598979013097
Alexander Gustafsson,Anthony Smith,-320,260,31.25,260,2019-06-01,"Stockholm, Sweden",Sweden,Blue,FALSE,Light Heavyweight,MALE,5,1,0,0,33.1818,0.507,0.3636,0.3636,0.096,3,4,27,1,0,0,1,5,1,0,7,Orthodox,193.04,193.04,205,1,0,0,44.2,0.385,0.3333,1.2,0.303,6,5,38,3,0,0,3,5,2,0,10,Orthodox,195.58,200.66,205,32,30,0,0,-3,-3,1,-11,-2,0,-1,-2.54,-7.62,2,-11.0182,0.0303,-0.8364,0,4,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Rear Naked Choke,4,02:38:00,1058,175,1800,700,1200,125,390,2019,0.003018416324708424,2.25,8,4.9,13,0.5694444444444444,0.2810047095761381,0.15151515151515152,0.24528301886792453,0.05893333333333333,0.8816666666666667,1.3125,3.6,0.7619047619047619,0.2777777777777778,0.4841269841269841
Jimi Manuwa,Aleksandar Rakic,215,-255,215,39.2157,2019-06-01,"Stockholm, Sweden",Sweden,Blue,FALSE,Light Heavyweight,MALE,3,0,3,0,60.3333,0.567,0,1,0.25,3,0,7,0,0,0,2,1,0,0,3,Orthodox,193.04,198.12,205,3,0,0,26.0909,0.537,0.1818,0.2727,0.091,3,5,21,0,0,0,1,3,0,2,6,Orthodox,185.42,200.66,205,39,27,3,3,0,-3,5,-14,0,-4,0,7.62,-2.54,12,34.2424,-0.1818,0.7273,0,NA,11,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Kick,1,00:47:00,47,800,325,1800,1200,225,-110,2019,0.990986701347152,3.25,19,1.9090909090909092,13,0.3603238866396761,0.6007326007326008,0.1111111111111111,0,0.48433333333333334,0.15666666666666668,3.15,1.392156862745098,0.31746031746031744,0.7183098591549296,0.4008495416946122
Tonya Evinger,Lina Lansberg,-400,325,25,325,2019-06-01,"Stockholm, Sweden",Sweden,Blue,FALSE,Women's Bantamweight,FEMALE,3,1,0,0,43.6,0.562,0.2,0.4,0.228,1,3,13,0,0,0,2,0,0,0,2,Orthodox,170.18,165.1,135,2,0,0,20.5,0.465,0,0.5,0.125,0,2,4,1,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,37,37,1,0,1,2,-1,9,-1,0,0,0,-12.7,0,23.1,0.2,-0.1,0,13,12,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,-104,442,310,1655,595,1300,2019,7.096703991005881e-4,6.95,4.1,14,17.55,0.38778733111072117,0.1284086284086284,0.6574585635359116,0.43993231810490696,0.1,1,1.25,4.25,0.8,0.23529411764705882,0.5647058823529412
Rafael Dos Anjos,Kevin Lee,130,-150,130,66.6667,2019-05-18,"Rochester, New York, USA",USA,Red,FALSE,Welterweight,MALE,5,1,0,0,49.0714,0.45,0.7857,2.5,0.455,5,4,36,1,0,1,3,1,4,1,10,Orthodox,175.26,195.58,170,2,0,0,47.9231,0.453,0.6154,1.7308,0.297,5,9,74,4,0,0,10,4,3,0,17,Southpaw,172.72,177.8,170,34,26,1,0,0,-7,5,-38,-3,-2,1,2.54,17.78,8,1.1484,0.1703,0.7692,0,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,Red,SUB,Arm Triangle,4,03:47:00,1127,250,200,600,700,300,550,2019,0.9426758241011313,4,7,6.5,8,0.39285714285714285,0.27884615384615385,0.3333333333333333,0.44,0.049733333333333345,0.9391666666666667,2.3,1.6666666666666665,0.4347826086956522,0.6000000000000001,0.16521739130434787
Antonio Carlos Junior,Ian Heinisch,-160,140,62.5,140,2019-05-18,"Rochester, New York, USA",USA,Blue,FALSE,Middleweight,MALE,3,0,1,0,55,0.57,2,1,0.14,1,0,3,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,185,0,4,0,23,0.434,0.6667,2.7778,0.483,4,3,21,1,0,0,2,0,4,0,6,Orthodox,187.96,200.66,185,29,30,0,-3,-3,-5,3,-18,-1,0,-4,-7.62,-17.78,-1,32,1.3333,-1.7778,0,NA,12,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,350,400,110,1800,1000,325,2019,0.04742587317756678,11,2.1,4.25,19,0.5670995670995671,0.28792569659442724,0.9009009009009009,0.15294117647058825,0.1,1,1.625,2.4,0.6153846153846154,0.4166666666666667,0.19871794871794873
Vicente Luque,Derrick Krantz,-1100,700,9.0909,700,2019-05-18,"Rochester, New York, USA",USA,Red,FALSE,Welterweight,MALE,3,0,0,0,NA,0.37,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,0,4,0,38.8,0.511,0.6,0.6,0.108,4,2,18,0,0,0,0,5,3,0,8,Orthodox,180.34,190.5,170,27,31,0,-4,-4,-8,2,-18,0,-5,-3,-2.54,-7.62,-4,-38.8,-0.6,-0.6,0,NA,15,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punch,1,03:52:00,232,463,1100,260,2550,-210,2000,2019,1.522997951276035e-8,1.4761904761904763,3.6,21,26.5,0.9551971326164874,0.08535489667565138,0,0.43956043956043955,0.42266666666666663,0.7733333333333333,1.0909090909090908,8,0.9166666666666667,0.125,0.7916666666666667
Charles Oliveira,Nik Lentz,-420,335,23.8095,335,2019-05-18,"Rochester, New York, USA",USA,Red,FALSE,Lightweight,MALE,3,0,2,0,43.9091,0.526,1.0909,3,0.315,4,8,59,0,0,2,7,3,2,0,14,Orthodox,172.72,172.72,155,0,4,0,20.5652,0.484,1.2609,1.3043,0.478,4,9,42,0,0,0,1,0,13,0,14,Orthodox,177.8,187.96,155,29,34,0,-2,0,0,1,17,0,3,-11,-5.08,-15.24,-5,23.3439,-0.17,1.6957,0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punch,2,02:11:00,431,450,475,-175,1200,600,800,2019,5.258334807966399e-4,7,1.5714285714285714,9,13,0.7792207792207793,0.18803418803418803,1,0.4,0.23755555555555555,0.7183333333333334,1.2380952380952381,4.35,0.8076923076923077,0.2298850574712644,0.5778072502210433
Aspen Ladd,Sijara Eubanks,-260,220,38.4615,220,2019-05-18,"Rochester, New York, USA",USA,Red,FALSE,Women's Bantamweight,FEMALE,3,0,2,0,66,0.335,0,2.5,0.625,2,0,6,0,0,0,2,0,0,0,2,Orthodox,162.56,170.18,135,0,2,0,38,0.555,0,0.5,0.5,2,0,3,0,0,0,0,2,0,0,2,Orthodox,167.64,167.64,135,24,34,0,0,0,0,0,3,0,-2,0,-5.08,2.54,-10,28,0,2,0,15,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,-110,310,800,1300,306,1500,2019,0.008162571153159897,4.0600000000000005,9,16,14,0.3574165298303229,0.13392857142857142,0.2766726943942134,0.5357142857142857,0.1,1,1.3846153846153846,3.2,0.7222222222222222,0.3125,0.4097222222222222
Rose Namajunas,Jessica Andrade,120,-140,120,71.4286,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Blue,TRUE,Women's Strawweight,FEMALE,5,0,3,0,72.8571,0.549,0.3571,2.3571,0.524,3,4,33,1,0,1,5,2,2,0,10,Orthodox,154.94,157.48,115,0,3,0,47.625,0.443,0.75,2,0.558,3,2,23,3,0,0,2,1,3,0,6,Orthodox,165.1,165.1,115,26,27,0,0,0,4,-2,10,-2,1,-1,-10.16,-7.62,-1,25.2321,-0.3929,0.3571,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Slam,2,02:58:00,478,300,250,350,675,800,300,2019,0.9308615796566533,9,4.5,4,7.75,0.3333333333333333,0.3790322580645161,0.6956521739130435,0.3076923076923077,0.2271111111111111,0.7966666666666666,2.2,1.7142857142857144,0.45454545454545453,0.5833333333333333,0.12878787878787873
Jared Cannonier,Anderson Silva,-135,115,74.0741,115,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Red,FALSE,Middleweight,MALE,3,1,0,0,33.5217,0.642,0.2609,0.1304,0.13,16,6,58,13,0,0,3,11,3,0,17,Southpaw,187.96,195.58,185,0,1,0,32.375,0.494,0,0.125,0.125,2,4,17,0,0,0,1,3,0,0,4,Switch,180.34,195.58,185,35,44,-1,-1,14,13,-2,41,13,8,3,7.62,0,-9,1.1467,0.2609,0.0054,0,15,9,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Kick,1,04:47:00,287,250,150,1400,1200,200,600,2019,0.07585818002124355,3,15,7,13,0.39999999999999997,0.21978021978021978,0.125,0.3333333333333333,0.4043333333333333,0.9566666666666667,1.7407407407407407,2.15,0.574468085106383,0.46511627906976744,0.1093518060366156
Jose Aldo,Alexander Volkanovski,-145,125,68.9655,125,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Blue,FALSE,Featherweight,MALE,3,0,6,0,72,0.597,0.5,2.6667,0.457,6,0,15,0,0,0,3,3,0,0,6,Orthodox,167.64,180.34,145,0,2,0,54.3077,0.432,0.2308,0.9231,0.183,7,3,45,11,0,0,6,4,0,0,10,Orthodox,170.18,177.8,145,32,30,0,4,-1,-4,3,-30,-11,-1,0,-2.54,2.54,2,17.6923,0.2692,1.7436,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,190,350,900,1200,300,275,2019,0.06297335605699649,4,10,3.75,13,0.35,0.3435897435897436,0.25,0.1864406779661017,0.1,1,1.6896551724137931,2.25,0.5918367346938775,0.4444444444444444,0.14739229024943312
Irene Aldana,Bethe Correia,-400,325,25,325,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,Red,FALSE,Women's Bantamweight,FEMALE,3,2,0,0,50.75,0.464,0,0.375,0.094,3,4,21,1,0,2,1,1,0,0,4,Orthodox,165.1,162.56,135,0,2,0,95.25,0.428,0,0.5,0.375,2,2,12,0,0,1,1,0,0,0,2,Orthodox,175.26,172.72,135,31,35,-2,-2,1,2,-2,9,1,1,0,-10.16,-10.16,-4,-44.5,0,-0.125,0,12,10,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Armbar,3,03:24:00,804,-110,400,1000,1600,235,1200,2019,7.096703991005881e-4,3.35,11,13,17,0.3894165535956581,0.13574660633484165,0.1902834008097166,0.42857142857142855,0.11599999999999999,0.8933333333333333,1.25,4.25,0.8,0.23529411764705882,0.5647058823529412
