RedFighter,BlueFighter,AggressionScore,RedFinishingProb,BlueFinishingProb,RedStrikeGrapple,BlueStrikeGrapple,FightPace,SurvivabilityIndex,BettingEdgeIndex
Petr Yan,Cory Sandhagen,0.004277925419704973,0.4242424242424242,0.21978021978021978,0.16666666666666666,0.3333333333333333,0,1,0.4589687726942629
Islam Makhachev,Dan Hooker,3.907455479521346e-5,0.4369747899159664,0.12937062937062938,0.7142857142857143,0.2857142857142857,0.45166666666666666,0.48333333333333334,0.6645962732919255
Alexander Volkov,Marcin Tybura,0.009013298652847822,0.5256916996047432,0.17027863777089783,0.11504424778761062,0.29411764705882354,0.1,1,0.3996415770609319
Li Jingliang,Khamzat Chimaev,0.9995241823811616,0.1388888888888889,0.72435897435897445,0.18604651162790697,0.3835616438356164,0.43466666666666665,0.6533333333333333,0.5805259726146491
Magomed Ankalaev,Volkan Oezdemir,0.001578028060403861,0.5428571428571428,0.22943722943722944,0.0728476821192053,0.1836734693877551,0.1,1,0.5217883418222977
Amanda Ribas,Virna Jandiroba,0.043107254941086116,0.25396825396825395,0.23376623376623376,0.42857142857142855,0.625,0.1,1,0.21447824412783995
Tagir Ulanbekov,Allan Nascimento,5.811037343016315e-4,0.41666666666666663,0.1497326203208556,0.625,0.6153846153846154,0.1,1,0.5714285714285714
Paulo Costa,Marvin Vettori,0.9758729785823308,0.28846153846153844,0.45,0.10714285714285714,0.5714285714285714,0,1,0.2962962962962963
Aspen Ladd,Norma Dumont,0.06913842034334682,0.45054945054945056,0.3068181818181818,0.2727272727272727,0.391304347826087,0,1,0.12878787878787873
Mackenzie Dern,Marina Rodriguez,0.024127021417669196,0.5769230769230769,0.2765567765567766,0.9230769230769231,0.11347517730496454,0,1,0.2962962962962963
Tim Elliott,Matheus Nicolau,0.9706877692486436,0.21978021978021978,0.3111111111111111,0.6666666666666666,0.6666666666666666,0.1,1,0.27055702917771896
Thiago Santos,Johnny Walker,0.057324175898868755,0.5714285714285714,0.42245989304812837,0,0.09859154929577464,0,1,0.16521739130434787
Misha Cirkunov,Krzysztof Jotko,0.9168273035060777,0.4095238095238095,0.4175438596491228,0.6857142857142857,0.1167192429022082,0.1,1,0.08902691511387173
Bethe Correia,Karol Rosa,0.9999949695696981,0.09728506787330317,0.34285714285714286,0.3902439024390244,0.4,0.1,1,0.7113821138211383
Alexander Volkanovski,Brian Ortega,0.03389516415917814,0.3445378151260504,0.325,0.13513513513513514,0.6363636363636364,0,1,0.2507002801120447
Valentina Shevchenko,Lauren Murphy,3.581747929000289e-10,0.746031746031746,0.07294429708222812,0,0.4716981132075472,0.048,0.95,0.8210922787193973
Curtis Blaydes,Jairzinho Rozenstruik,0.0012293986212774202,0.5353535353535354,0.2361111111111111,0.1111111111111111,0.0979381443298969,0.1,1,0.5352564102564104
Jessica Andrade,Cynthia Calvillo,0.01798620996209156,0.39860139860139865,0.16666666666666669,0.1836734693877551,0.6086956521739131,0.402,0.98,0.33035714285714285
Marlon Moraes,Merab Dvalishvili,0.9961275965593289,0.21978021978021978,0.35384615384615387,0.3333333333333333,0.42105263157894735,0.20777777777777776,0.9416666666666667,0.46624248851184164
Dan Hooker,Nasrat Haqparast,0.057324175898868755,0.4076923076923077,0.2657004830917874,0.2,0.13725490196078433,0.1,1,0.16521739130434787
Shamil Abdurakhimov,Chris Daukaus,0.9820137900379085,0.23444976076555024,0.5666666666666667,0.2,0.06666666666666667,0.24822222222222218,0.6383333333333333,0.33035714285714285
Roxanne Modafferi,Taila Santos,0.9990889488055994,0.12681159420289856,0.3055555555555555,0.6666666666666666,0.2413793103448276,0.1,1,0.55
Anthony Smith,Ryan Spann,0.057324175898868755,0.5402504472271914,0.3992248062015504,0.40540540540540543,0.39759036144578314,0.42433333333333334,0.7566666666666667,0.16521739130434787
Arman Tsarukyan,Christos Giagos,6.475947982049267e-7,0.4547803617571059,0.07796101949025487,0.4852941176470588,0.44,0.457,0.43,0.746588693957115
Pannie Kianzad,Raquel Pennington,0.9241418199787566,0.16993464052287582,0.18218623481781376,0.3333333333333333,0.5853658536585366,0.1,1,0.1093518060366156
Derek Brunson,Darren Till,0.9426758241011313,0.2976190476190476,0.49360613810741694,0.13043478260869565,0.07514450867052024,0.12783333333333333,0.8144444444444444,0.16521739130434787
